ID;Block;BlockDuration;MasksN;Target;Event;Time
s04;4;120;3;0;1;7396
s04;4;120;3;2;1;7479
s04;4;120;3;0;0;7529
s04;4;120;3;0;1;7612
s04;4;120;3;0;0;7646
s04;4;120;3;2;0;9982
s04;4;120;3;0;1;9998
s04;4;120;3;0;0;10582
s04;4;120;3;0;1;10615
s04;4;120;3;2;1;10715
s04;4;120;3;0;0;10732
s04;4;120;3;2;0;13968
s04;4;120;3;0;1;13984
s04;4;120;3;2;1;14034
s04;4;120;3;0;0;14068
s04;4;120;3;2;0;14118
s04;4;120;3;0;1;14134
s04;4;120;3;0;0;14368
s04;4;120;3;2;1;14385
s04;4;120;3;2;0;17553
s04;4;120;3;0;1;17570
s04;4;120;3;2;1;18070
s04;4;120;3;0;0;18087
s04;4;120;3;2;0;20822
s04;4;120;3;0;1;20839
s04;4;120;3;2;1;21706
s04;4;120;3;0;0;21723
s04;4;120;3;2;0;23507
s04;4;120;3;0;1;23557
s04;4;120;3;2;1;25375
s04;4;120;3;0;0;25392
s04;4;120;3;2;0;28895
s04;4;120;3;0;1;28912
s04;4;120;3;2;1;30029
s04;4;120;3;0;0;30046
s04;4;120;3;2;0;32731
s04;4;120;3;0;1;32781
s04;4;120;3;2;1;33031
s04;4;120;3;0;0;33048
s04;4;120;3;2;0;33365
s04;4;120;3;0;1;33398
s04;4;120;3;2;1;33882
s04;4;120;3;0;0;33899
s04;4;120;3;2;0;35166
s04;4;120;3;0;1;35183
s04;4;120;3;2;1;35300
s04;4;120;3;0;0;35316
s04;4;120;3;0;1;35466
s04;4;120;3;0;0;36250
s04;4;120;3;2;0;38619
s04;4;120;3;0;1;38669
s04;4;120;3;2;1;39653
s04;4;120;3;0;0;39669
s04;4;120;3;2;0;41438
s04;4;120;3;0;1;41454
s04;4;120;3;0;0;42271
s04;4;120;3;2;1;42288
s04;4;120;3;2;0;44273
s04;4;120;3;0;1;44307
s04;4;120;3;0;0;44373
s04;4;120;3;0;1;44390
s04;4;120;3;2;1;44790
s04;4;120;3;0;0;44807
s04;4;120;3;2;0;45958
s04;4;120;3;2;1;46008
s04;4;120;3;2;0;46041
s04;4;120;3;0;1;46058
s04;4;120;3;2;1;46125
s04;4;120;3;0;0;46191
s04;4;120;3;2;0;47642
s04;4;120;3;0;1;47692
s04;4;120;3;2;1;47792
s04;4;120;3;0;0;47809
s04;4;120;3;2;0;54564
s04;4;120;3;0;1;54581
s04;4;120;3;2;1;54897
s04;4;120;3;0;0;54914
s04;4;120;3;2;0;72477
s04;4;120;3;0;1;72493
s04;4;120;3;2;1;72860
s04;4;120;3;0;0;72877
s04;4;120;3;2;0;75495
s04;4;120;3;0;1;75512
s04;4;120;3;2;1;76229
s04;4;120;3;0;0;76263
s04;4;120;3;2;0;83535
s04;4;120;3;0;1;83585
s04;4;120;3;2;1;83835
s04;4;120;3;0;0;83852
s04;4;120;3;0;1;87888
s04;4;120;3;2;0;87905
s04;4;120;3;2;1;88472
s04;4;120;3;0;0;88488
s04;4;120;3;2;0;93775
s04;4;120;3;0;1;93792
s04;4;120;3;2;1;94543
s04;4;120;3;0;0;94559
s04;4;120;3;0;1;98346
s04;4;120;3;2;0;98363
s04;4;120;3;0;0;98663
s04;4;120;3;2;1;98696
s04;4;120;3;2;0;100181
s04;4;120;3;0;1;100197
s04;4;120;3;2;1;101081
s04;4;120;3;0;0;101098
s04;4;120;3;0;1;103650
s04;4;120;3;2;0;103666
s04;4;120;3;2;1;103967
s04;4;120;3;0;0;103983
s04;4;120;3;0;1;111105
s04;4;120;3;2;0;111121
s04;4;120;3;2;1;111372
s04;4;120;3;0;0;111388
s04;4;120;3;2;0;113874
s04;4;120;3;0;1;113924
s04;4;120;3;2;1;114458
s04;4;120;3;0;0;114508
s04;4;120;3;0;1;116293
s04;4;120;3;2;0;116326
s04;4;120;3;2;1;116643
s04;4;120;3;0;0;116659
s04;4;120;3;2;0;116726
s04;4;120;3;0;1;116743
s04;4;120;3;2;1;116910
s04;4;120;3;0;0;116926
s04;4;120;3;0;1;119178
s04;4;120;3;2;0;119194
s04;4;120;3;2;1;120000
s05;1;120;1;0;0;5732
s05;1;120;1;0;1;12821
s05;1;120;1;0;0;18525
s05;1;120;1;0;1;23645
s05;1;120;1;0;0;26797
s05;1;120;1;0;1;32285
s05;1;120;1;0;0;38939
s05;1;120;1;0;1;43392
s05;1;120;1;0;0;50365
s05;1;120;1;0;1;57303
s05;1;120;1;0;0;62356
s05;1;120;1;0;1;67177
s05;1;120;1;0;0;77567
s05;1;120;1;0;1;87925
s05;1;120;1;0;0;92912
s05;1;120;1;0;1;104804
s05;1;120;1;0;0;112810
s05;1;120;1;0;1;120000
s05;2;120;3;0;0;8892
s05;2;120;3;2;0;20250
s05;2;120;3;0;1;20283
s05;2;120;3;2;1;21134
s05;2;120;3;0;0;21784
s05;2;120;3;0;1;23252
s05;2;120;3;2;0;23385
s05;2;120;3;2;1;23537
s05;2;120;3;0;0;24487
s05;2;120;3;2;0;25638
s05;2;120;3;0;1;25655
s05;2;120;3;2;1;25805
s05;2;120;3;0;0;26255
s05;2;120;3;0;1;33460
s05;2;120;3;2;0;33643
s05;2;120;3;2;1;33810
s05;2;120;3;2;0;33994
s05;2;120;3;2;1;34594
s05;2;120;3;0;0;34661
s05;2;120;3;0;1;41800
s05;2;120;3;2;0;41817
s05;2;120;3;2;1;42617
s05;2;120;3;2;0;42784
s05;2;120;3;2;1;42951
s05;2;120;3;2;0;43067
s05;2;120;3;2;1;43184
s05;2;120;3;2;0;43268
s05;2;120;3;2;1;43401
s05;2;120;3;2;0;43484
s05;2;120;3;0;0;44135
s05;2;120;3;2;1;44168
s05;2;120;3;0;1;47387
s05;2;120;3;2;0;47520
s05;2;120;3;2;1;47921
s05;2;120;3;0;0;47937
s05;2;120;3;0;1;49472
s05;2;120;3;2;0;49505
s05;2;120;3;0;0;51657
s05;2;120;3;2;1;51673
s05;2;120;3;0;1;60213
s05;2;120;3;2;0;60580
s05;2;120;3;2;1;62031
s05;2;120;3;0;0;62148
s05;2;120;3;0;1;63499
s05;2;120;3;2;0;63566
s05;2;120;3;0;0;65484
s05;2;120;3;2;1;65517
s05;2;120;3;0;1;68586
s05;2;120;3;2;0;68869
s05;2;120;3;0;0;70937
s05;2;120;3;2;1;70954
s05;2;120;3;0;1;75357
s05;2;120;3;2;0;75440
s05;2;120;3;0;0;76359
s05;2;120;3;2;1;76425
s05;2;120;3;0;1;78727
s05;2;120;3;2;0;78860
s05;2;120;3;0;0;81712
s05;2;120;3;2;1;81762
s05;2;120;3;2;0;93638
s05;2;120;3;0;1;93671
s05;2;120;3;0;0;95256
s05;2;120;3;2;1;95272
s05;2;120;3;2;0;102410
s05;2;120;3;0;1;102427
s05;2;120;3;2;1;102877
s05;2;120;3;0;0;102944
s05;2;120;3;0;1;104395
s05;2;120;3;0;0;104445
s05;2;120;3;0;1;106113
s05;2;120;3;2;0;106163
s05;2;120;3;2;1;107564
s05;2;120;3;2;0;107714
s05;2;120;3;2;1;109732
s05;2;120;3;0;0;109749
s05;2;120;3;0;1;112668
s05;2;120;3;2;0;112835
s05;2;120;3;2;1;113519
s05;2;120;3;0;0;113536
s05;2;120;3;0;1;114903
s05;2;120;3;2;0;115337
s05;2;120;3;0;0;115804
s05;2;120;3;2;1;115821
s05;2;120;3;0;1;118372
s05;2;120;3;2;0;118639
s05;2;120;3;0;0;118939
s05;2;120;3;2;1;118956
s05;2;120;3;0;1;120000
s05;3;120;1;0;0;2202
s05;3;120;1;0;1;10275
s05;3;120;1;2;0;14528
s05;3;120;1;2;1;15728
s05;3;120;1;0;0;15878
s05;3;120;1;0;1;16479
s05;3;120;1;2;0;16529
s05;3;120;1;0;0;17013
s05;3;120;1;2;1;17029
s05;3;120;1;0;1;17830
s05;3;120;1;2;0;17846
s05;3;120;1;0;0;18430
s05;3;120;1;2;1;18447
s05;3;120;1;0;1;19264
s05;3;120;1;2;0;19314
s05;3;120;1;0;0;20048
s05;3;120;1;2;1;20115
s05;3;120;1;0;1;20932
s05;3;120;1;2;0;21182
s05;3;120;1;2;1;22217
s05;3;120;1;0;0;22250
s05;3;120;1;0;1;22951
s05;3;120;1;2;0;22968
s05;3;120;1;0;0;24619
s05;3;120;1;2;1;24652
s05;3;120;1;0;1;25453
s05;3;120;1;2;0;25586
s05;3;120;1;2;1;25853
s05;3;120;1;0;0;25903
s05;3;120;1;0;1;31240
s05;3;120;1;2;0;31407
s05;3;120;1;0;0;32774
s05;3;120;1;2;1;32791
s05;3;120;1;2;0;35676
s05;3;120;1;2;1;35826
s05;3;120;1;0;1;39747
s05;3;120;1;2;0;39997
s05;3;120;1;0;0;41481
s05;3;120;1;2;1;41498
s05;3;120;1;0;1;41731
s05;3;120;1;2;0;42115
s05;3;120;1;2;1;44099
s05;3;120;1;0;0;44266
s05;3;120;1;0;1;47068
s05;3;120;1;2;0;47335
s05;3;120;1;0;0;48002
s05;3;120;1;2;1;48035
s05;3;120;1;0;1;49637
s05;3;120;1;2;0;49737
s05;3;120;1;0;0;50420
s05;3;120;1;2;1;50471
s05;3;120;1;0;1;52489
s05;3;120;1;2;0;54423
s05;3;120;1;2;1;55124
s05;3;120;1;0;0;55207
s05;3;120;1;0;1;56274
s05;3;120;1;2;0;56441
s05;3;120;1;2;1;58043
s05;3;120;1;0;0;58093
s05;3;120;1;0;1;59995
s05;3;120;1;0;0;60128
s05;3;120;1;0;1;60578
s05;3;120;1;2;0;60662
s05;3;120;1;0;0;61112
s05;3;120;1;2;1;61129
s05;3;120;1;0;1;65665
s05;3;120;1;0;0;67616
s05;3;120;1;0;1;69384
s05;3;120;1;2;0;69568
s05;3;120;1;2;1;71152
s05;3;120;1;0;0;71302
s05;3;120;1;0;1;71419
s05;3;120;1;0;0;71652
s05;3;120;1;0;1;73487
s05;3;120;1;2;0;73720
s05;3;120;1;2;1;74605
s05;3;120;1;0;0;74639
s05;3;120;1;0;1;75406
s05;3;120;1;2;0;75623
s05;3;120;1;2;1;76073
s05;3;120;1;2;0;76090
s05;3;120;1;2;1;76223
s05;3;120;1;0;0;76807
s05;3;120;1;0;1;78024
s05;3;120;1;2;0;78375
s05;3;120;1;2;1;78792
s05;3;120;1;0;0;79042
s05;3;120;1;0;1;80943
s05;3;120;1;2;0;85880
s05;3;120;1;2;1;87281
s05;3;120;1;2;0;88165
s05;3;120;1;2;1;89365
s05;3;120;1;2;0;90233
s05;3;120;1;2;1;90683
s05;3;120;1;0;0;92085
s05;3;120;1;0;1;94286
s05;3;120;1;2;0;94503
s05;3;120;1;2;1;95704
s05;3;120;1;2;0;96088
s05;3;120;1;2;1;97555
s05;3;120;1;2;0;98206
s05;3;120;1;2;1;98606
s05;3;120;1;0;0;98739
s05;3;120;1;0;1;101475
s05;3;120;1;0;0;102492
s05;3;120;1;0;1;104293
s05;3;120;1;0;0;107062
s05;3;120;1;0;1;108262
s05;3;120;1;2;0;108513
s05;3;120;1;2;1;110415
s05;3;120;1;2;0;111999
s05;3;120;1;2;1;114785
s05;3;120;1;2;0;116702
s05;3;120;1;2;1;120000
s05;4;120;3;0;0;1842
s05;4;120;3;0;1;5178
s05;4;120;3;2;0;5228
s05;4;120;3;2;1;5812
s05;4;120;3;0;0;5845
s05;4;120;3;0;1;7413
s05;4;120;3;2;0;7530
s05;4;120;3;0;0;7863
s05;4;120;3;2;1;7880
s05;4;120;3;0;1;8497
s05;4;120;3;2;0;8531
s05;4;120;3;2;1;10065
s05;4;120;3;0;0;10082
s05;4;120;3;0;1;12750
s05;4;120;3;2;0;13034
s05;4;120;3;2;1;13434
s05;4;120;3;0;0;13501
s05;4;120;3;0;1;15585
s05;4;120;3;2;0;15602
s05;4;120;3;2;1;16169
s05;4;120;3;0;0;16186
s05;4;120;3;0;1;18121
s05;4;120;3;2;0;18137
s05;4;120;3;0;0;19254
s05;4;120;3;2;1;19271
s05;4;120;3;2;0;22858
s05;4;120;3;0;1;22891
s05;4;120;3;0;0;24159
s05;4;120;3;2;1;24175
s05;4;120;3;0;1;26877
s05;4;120;3;2;0;26894
s05;4;120;3;0;0;27378
s05;4;120;3;2;1;27411
s05;4;120;3;0;1;29646
s05;4;120;3;2;0;29713
s05;4;120;3;0;0;29996
s05;4;120;3;2;1;30013
s05;4;120;3;0;1;34933
s05;4;120;3;2;0;35350
s05;4;120;3;2;1;35550
s05;4;120;3;0;0;35566
s05;4;120;3;0;1;41071
s05;4;120;3;0;0;41988
s05;4;120;3;0;1;43740
s05;4;120;3;2;0;43773
s05;4;120;3;2;1;46275
s05;4;120;3;0;0;46308
s05;4;120;3;0;1;49093
s05;4;120;3;2;0;49160
s05;4;120;3;2;1;49777
s05;4;120;3;0;0;49794
s05;4;120;3;0;1;51578
s05;4;120;3;2;0;51645
s05;4;120;3;0;0;52095
s05;4;120;3;2;1;52112
s05;4;120;3;0;1;54447
s05;4;120;3;2;0;54497
s05;4;120;3;2;1;55131
s05;4;120;3;0;0;55197
s05;4;120;3;0;1;57467
s05;4;120;3;2;0;57567
s05;4;120;3;2;1;57867
s05;4;120;3;0;0;57900
s05;4;120;3;0;1;58751
s05;4;120;3;2;0;58801
s05;4;120;3;0;0;59568
s05;4;120;3;2;1;59585
s05;4;120;3;2;0;62303
s05;4;120;3;0;1;62336
s05;4;120;3;2;1;62887
s05;4;120;3;0;0;62904
s05;4;120;3;0;1;66273
s05;4;120;3;2;0;66289
s05;4;120;3;2;1;66573
s05;4;120;3;0;0;66623
s05;4;120;3;0;1;70559
s05;4;120;3;2;0;70809
s05;4;120;3;2;1;71092
s05;4;120;3;0;0;71309
s05;4;120;3;0;1;73645
s05;4;120;3;2;0;74729
s05;4;120;3;2;1;75230
s05;4;120;3;0;0;75263
s05;4;120;3;0;1;77114
s05;4;120;3;2;0;77314
s05;4;120;3;0;0;81450
s05;4;120;3;2;1;81484
s05;4;120;3;0;1;81717
s05;4;120;3;2;0;82201
s05;4;120;3;2;1;86104
s05;4;120;3;0;0;87021
s05;4;120;3;0;1;89339
s05;4;120;3;2;0;89539
s05;4;120;3;2;1;89923
s05;4;120;3;0;0;89939
s05;4;120;3;0;1;91658
s05;4;120;3;2;0;91692
s05;4;120;3;0;0;92242
s05;4;120;3;2;1;92259
s05;4;120;3;0;1;96762
s05;4;120;3;2;0;98463
s05;4;120;3;2;1;98580
s05;4;120;3;0;0;98663
s05;4;120;3;0;1;98846
s05;4;120;3;0;0;101999
s05;4;120;3;0;1;105051
s05;4;120;3;2;0;105067
s05;4;120;3;2;1;105334
s05;4;120;3;0;0;105351
s05;4;120;3;0;1;106869
s05;4;120;3;2;0;106902
s05;4;120;3;2;1;107903
s05;4;120;3;0;0;107919
s05;4;120;3;0;1;115792
s05;4;120;3;0;0;118227
s05;4;120;3;0;1;120000
s06;1;120;1;0;0;731
s06;1;120;1;0;1;43062
s06;1;120;1;0;0;44396
s06;1;120;1;0;1;51585
s06;1;120;1;2;0;51602
s06;1;120;1;2;1;52936
s06;1;120;1;0;0;53119
s06;1;120;1;0;1;56355
s06;1;120;1;2;0;56372
s06;1;120;1;2;1;57122
s06;1;120;1;0;0;57139
s06;1;120;1;0;1;60091
s06;1;120;1;2;0;60107
s06;1;120;1;2;1;60725
s06;1;120;1;0;0;60791
s06;1;120;1;0;1;64662
s06;1;120;1;2;0;64678
s06;1;120;1;2;1;65129
s06;1;120;1;0;0;65195
s06;1;120;1;0;1;67263
s06;1;120;1;2;0;67280
s06;1;120;1;2;1;67697
s06;1;120;1;0;0;67747
s06;1;120;1;0;1;69815
s06;1;120;1;2;0;69832
s06;1;120;1;2;1;70282
s06;1;120;1;0;0;70382
s06;1;120;1;0;1;77303
s06;1;120;1;2;0;77453
s06;1;120;1;2;1;78021
s06;1;120;1;0;0;78137
s06;1;120;1;2;0;91581
s06;1;120;1;0;1;91597
s06;1;120;1;2;1;92098
s06;1;120;1;0;0;92231
s06;1;120;1;0;1;94966
s06;1;120;1;2;0;95133
s06;1;120;1;2;1;95917
s06;1;120;1;0;0;95984
s06;1;120;1;0;1;100404
s06;1;120;1;2;0;100421
s06;1;120;1;2;1;100788
s06;1;120;1;0;0;101071
s06;1;120;1;0;1;112012
s06;1;120;1;2;0;112046
s06;1;120;1;2;1;112412
s06;1;120;1;0;0;112629
s06;1;120;1;0;1;118117
s06;1;120;1;2;0;118284
s06;1;120;1;2;1;118484
s06;1;120;1;0;0;118734
s06;1;120;1;0;1;120000
s06;2;120;3;0;0;1588
s06;2;120;3;0;1;17416
s06;2;120;3;2;0;17483
s06;2;120;3;2;1;18133
s06;2;120;3;0;0;18266
s06;2;120;3;0;1;20635
s06;2;120;3;2;0;20785
s06;2;120;3;2;1;21102
s06;2;120;3;0;0;21318
s06;2;120;3;0;1;23753
s06;2;120;3;2;0;24371
s06;2;120;3;2;1;25655
s06;2;120;3;0;0;25805
s06;2;120;3;0;1;30859
s06;2;120;3;2;0;31009
s06;2;120;3;2;1;31410
s06;2;120;3;2;0;31710
s06;2;120;3;2;1;32494
s06;2;120;3;0;0;32544
s06;2;120;3;0;1;41266
s06;2;120;3;2;0;41416
s06;2;120;3;2;1;42384
