ID;Block;Duration;Aligned;MasksN;Target;Event;Time;SimCount
s02;8;120;1;1;0;0;49239;2
s02;8;120;1;1;0;1;49423;2
s02;8;120;1;1;1;1;49439;2
s02;8;120;1;1;1;0;51838;1
s02;8;120;1;1;1;1;52038;1
s02;8;120;1;1;0;0;54687;1
s02;8;120;1;1;0;1;54870;1
s02;8;120;1;1;1;0;61118;2
s02;8;120;1;1;0;0;61135;2
s02;8;120;1;1;0;1;61318;2
s02;8;120;1;1;1;1;61335;2
s02;8;120;1;1;2;0;61718;3
s02;8;120;1;1;1;0;61751;3
s02;8;120;1;1;0;0;61767;3
s02;8;120;1;1;1;1;61851;3
s02;8;120;1;1;2;1;61885;3
s02;8;120;1;1;0;1;61901;3
s02;8;120;1;1;0;0;64566;1
s02;8;120;1;1;0;1;64733;1
s02;8;120;1;1;1;0;65066;1
s02;8;120;1;1;1;1;65200;1
s02;8;120;1;1;0;0;67116;2
s02;8;120;1;1;1;0;67133;2
s02;8;120;1;1;0;1;67249;2
s02;8;120;1;1;1;1;67282;2
s02;8;120;1;1;0;0;68998;2
s02;8;120;1;1;1;0;69032;2
s02;8;120;1;1;0;1;69165;2
s02;8;120;1;1;1;1;69182;2
s02;8;120;1;1;0;0;72947;2
s02;8;120;1;1;1;0;72980;2
s02;8;120;1;1;0;1;73097;2
s02;8;120;1;1;1;1;73113;2
s02;8;120;1;1;1;0;75463;1
s02;8;120;1;1;1;1;75579;1
s02;8;120;1;1;0;0;79227;3
s02;8;120;1;1;2;0;79244;3
s02;8;120;1;1;1;0;79278;3
s02;8;120;1;1;1;1;79428;3
s02;8;120;1;1;2;1;79444;3
s02;8;120;1;1;0;1;79477;3
s02;8;120;1;1;1;0;81810;1
s02;8;120;1;1;1;1;81960;1
s02;8;120;1;1;1;0;84226;2
s02;8;120;1;1;0;0;84309;2
s02;8;120;1;1;1;1;84476;2
s02;8;120;1;1;0;1;84509;2
s02;8;120;1;1;1;0;86075;2
s02;8;120;1;1;0;0;86108;2
s02;8;120;1;1;1;1;86292;2
s02;8;120;1;1;0;1;86309;2
s02;8;120;1;1;0;0;88058;1
s02;8;120;1;1;0;1;88191;1
s02;8;120;1;1;0;0;90606;1
s02;8;120;1;1;0;1;90823;1
s02;8;120;1;1;1;0;93822;3
s02;8;120;1;1;0;0;93855;3
s02;8;120;1;1;2;0;93889;3
s02;8;120;1;1;1;1;94022;3
s02;8;120;1;1;2;1;94039;3
s02;8;120;1;1;0;1;94056;3
s02;8;120;1;1;1;0;98887;1
s02;8;120;1;1;1;1;99020;1
s02;8;120;1;1;0;0;100120;2
s02;8;120;1;1;1;0;100137;2
s02;8;120;1;1;0;1;100286;2
s02;8;120;1;1;1;1;100304;2
s02;8;120;1;1;1;0;102036;2
s02;8;120;1;1;0;0;102069;2
s02;8;120;1;1;1;1;102203;2
s02;8;120;1;1;0;1;102235;2
s02;8;120;1;1;1;0;103018;1
s02;8;120;1;1;1;1;103169;1
s02;8;120;1;1;1;0;104351;1
s02;8;120;1;1;1;1;104485;1
s02;8;120;1;1;0;0;106468;2
s02;8;120;1;1;2;0;106501;2
s02;8;120;1;1;2;1;106701;2
s02;8;120;1;1;0;1;106751;2
s02;8;120;1;1;1;0;107517;1
s02;8;120;1;1;1;1;107667;1
s02;8;120;1;1;0;0;109850;1
s02;8;120;1;1;0;1;110017;1
s02;8;120;1;1;2;0;110466;1
s02;8;120;1;1;2;1;110633;1
s02;8;120;1;1;0;0;112998;1
s02;8;120;1;1;0;1;113182;1
s02;8;120;1;1;0;0;113415;2
s02;8;120;1;1;1;0;113432;2
s02;8;120;1;1;1;1;113531;2
s02;8;120;1;1;0;1;113564;2
s02;8;120;1;1;0;0;115048;2
s02;8;120;1;1;1;0;115081;2
s02;8;120;1;1;0;1;115214;2
s02;8;120;1;1;1;1;115230;2
s02;8;120;1;1;1;0;116580;1
s02;8;120;1;1;1;1;116681;1
s02;8;120;1;1;0;0;117996;1
s02;8;120;1;1;0;1;118146;1
s03;1;30;0;1;0;0;14106;0
s03;1;30;0;1;0;1;14988;0
s03;1;30;0;1;2;0;16294;0
s03;1;30;0;1;1;0;16318;0
s03;1;30;0;1;0;0;16342;0
s03;1;30;0;1;2;1;16871;0
s03;1;30;0;1;1;1;16883;0
s03;1;30;0;1;0;1;16894;0
s03;1;30;0;1;2;0;18000;0
s03;1;30;0;1;1;0;18023;0
s03;1;30;0;1;0;0;18047;0
s03;1;30;0;1;1;1;18224;0
s03;1;30;0;1;0;1;18235;0
