ID;Block;Duration;Aligned;Target;Event;Time
s02;4;120;1;0;0;66309
s02;4;120;1;0;1;68741
s02;4;120;1;0;0;72956
s02;4;120;1;1;0;72989
s02;4;120;1;2;0;73006
s02;4;120;1;1;1;74940
s02;4;120;1;2;1;74973
s02;4;120;1;0;1;75023
s02;4;120;1;2;0;77855
s02;4;120;1;0;0;77871
s02;4;120;1;1;0;77904
s02;4;120;1;1;1;79721
s02;4;120;1;2;1;79754
s02;4;120;1;0;1;79771
s02;4;120;1;2;0;83270
s02;4;120;1;1;0;83303
s02;4;120;1;0;0;83319
s02;4;120;1;0;1;83369
s02;4;120;1;1;1;85168
s02;4;120;1;2;1;85219
s02;4;120;1;1;0;87634
s02;4;120;1;0;0;87650
s02;4;120;1;1;1;90184
s02;4;120;1;0;1;90200
s02;4;120;1;1;0;92282
s02;4;120;1;0;0;92332
s02;4;120;1;2;0;92382
s02;4;120;1;2;1;94864
s02;4;120;1;1;1;94882
s02;4;120;1;0;1;94899
s02;4;120;1;2;0;97897
s02;4;120;1;1;0;97930
s02;4;120;1;1;1;100147
s02;4;120;1;2;1;100163
s02;4;120;1;1;0;102363
s02;4;120;1;0;0;102396
s02;4;120;1;2;0;102445
s02;4;120;1;1;1;104478
s02;4;120;1;0;1;104494
s02;4;120;1;2;1;104511
s02;4;120;1;2;0;107061
s02;4;120;1;1;0;107144
s02;4;120;1;1;1;108893
s02;4;120;1;2;1;108926
s02;4;120;1;2;0;112541
s02;4;120;1;1;0;112558
s02;4;120;1;0;0;112591
s02;4;120;1;1;1;114091
s02;4;120;1;2;1;114108
s02;4;120;1;0;1;114124
s02;4;120;1;0;0;117989
s02;4;120;1;0;1;119705
s03;1;120;0;2;0;3727
s03;1;120;0;1;0;3774
s03;1;120;0;2;1;5714
s03;1;120;0;1;1;5762
s03;1;120;0;2;0;8420
s03;1;120;0;1;0;8444
s03;1;120;0;0;0;8467
s03;1;120;0;2;1;10033
s03;1;120;0;1;1;10044
s03;1;120;0;0;1;10056
s03;1;120;0;2;0;12162
s03;1;120;0;1;0;12185
s03;1;120;0;0;0;12208
s03;1;120;0;2;1;14362
s03;1;120;0;1;1;14374
s03;1;120;0;0;1;14385
s03;1;120;0;0;0;17374
s03;1;120;0;2;0;17420
s03;1;120;0;1;0;17444
s03;1;120;0;2;1;19926
s03;1;120;0;1;1;19938
s03;1;120;0;0;1;19950
s03;1;120;0;2;0;23244
s03;1;120;0;1;0;23267
s03;1;120;0;0;0;23291
s03;1;120;0;2;1;24961
s03;1;120;0;1;1;24973
s03;1;120;0;0;1;24985
s03;1;120;0;0;0;29456
s03;1;120;0;2;0;29502
s03;1;120;0;2;1;30843
s03;1;120;0;0;1;30914
s03;1;120;0;0;0;33208
s03;1;120;0;0;1;35161
s03;1;120;0;1;0;37666
s03;1;120;0;1;1;40172
s03;1;120;0;1;0;43690
s03;1;120;0;2;0;43749
s03;1;120;0;0;0;43760
s03;1;120;0;2;1;45902
s03;1;120;0;1;1;45914
s03;1;120;0;0;1;45925
s03;1;120;0;2;0;48031
s03;1;120;0;1;0;48054
s03;1;120;0;0;0;48078
s03;1;120;0;0;1;49408
s03;1;120;0;2;1;49443
s03;1;120;0;1;1;49455
s03;1;120;0;2;0;53231
s03;1;120;0;1;0;53254
s03;1;120;0;0;0;53278
s03;1;120;0;2;1;55078
s03;1;120;0;1;1;55089
