ID;Block;ConditionLabel;Time;Target;Event;Key;EventLabel
s09;4;2 different masks;89.65;0;0;J;Pressed
s09;4;2 different masks;89.65;1;0;K;Pressed
s09;4;2 different masks;89.76;1;1;K;Released
s09;4;2 different masks;90.32;1;0;K;Pressed
s09;4;2 different masks;91.21;0;1;J;Released
s09;4;2 different masks;91.23;1;1;K;Released
s09;4;2 different masks;93.09;0;0;J;Pressed
s09;4;2 different masks;93.09;1;0;K;Pressed
s09;4;2 different masks;94.42;1;1;K;Released
s09;4;2 different masks;94.45;0;1;J;Released
s09;4;2 different masks;97.59;0;0;J;Pressed
s09;4;2 different masks;97.59;1;0;K;Pressed
s09;4;2 different masks;99.35;0;1;J;Released
s09;4;2 different masks;99.35;1;1;K;Released
s09;4;2 different masks;104.68;0;0;J;Pressed
s09;4;2 different masks;104.68;1;0;K;Pressed
s09;4;2 different masks;106.7;0;1;J;Released
s09;4;2 different masks;106.71;1;1;K;Released
s09;4;2 different masks;110.84;0;0;J;Pressed
s09;4;2 different masks;110.85;1;0;K;Pressed
s09;4;2 different masks;112.54;0;1;J;Released
s09;4;2 different masks;112.56;1;1;K;Released
s09;4;2 different masks;114.92;0;0;J;Pressed
s09;4;2 different masks;114.93;1;0;K;Pressed
s09;4;2 different masks;116.37;1;1;K;Released
s09;4;2 different masks;116.4;0;1;J;Released
s09;4;2 different masks;124.26;-1;200;E;Block end
s09;5;2 different masks_connected dots;0.17;-1;100;E;Block start
s09;5;2 different masks_connected dots;44.81;0;0;J;Pressed
s09;5;2 different masks_connected dots;44.81;1;0;K;Pressed
s09;5;2 different masks_connected dots;44.86;1;1;K;Released
s09;5;2 different masks_connected dots;45.59;0;1;J;Released
s09;5;2 different masks_connected dots;50.75;0;0;J;Pressed
s09;5;2 different masks_connected dots;51.23;0;1;J;Released
s09;5;2 different masks_connected dots;59.53;0;0;J;Pressed
s09;5;2 different masks_connected dots;59.64;1;0;K;Pressed
s09;5;2 different masks_connected dots;60.05;0;1;J;Released
s09;5;2 different masks_connected dots;60.08;1;1;K;Released
s09;5;2 different masks_connected dots;99.76;0;0;J;Pressed
s09;5;2 different masks_connected dots;100.11;0;1;J;Released
s09;5;2 different masks_connected dots;127.3;-1;200;E;Block end
s09;6;1 mask;0.13;-1;100;E;Block start
s09;6;1 mask;6.6;0;0;J;Pressed
s09;6;1 mask;6.83;0;1;J;Released
s09;6;1 mask;9.61;0;0;J;Pressed
s09;6;1 mask;10.15;0;1;J;Released
s09;6;1 mask;12.27;0;0;J;Pressed
s09;6;1 mask;12.3;0;1;J;Released
s09;6;1 mask;12.44;0;0;J;Pressed
s09;6;1 mask;12.44;1;0;K;Pressed
s09;6;1 mask;12.8;0;1;J;Released
s09;6;1 mask;12.82;1;1;K;Released
s09;6;1 mask;14.43;0;0;J;Pressed
