ID;Block;Duration;Aligned;MasksN;Target;Event;Time
s02;6;120;1;3;0;0;70764
s02;6;120;1;3;1;0;70798
s02;6;120;1;3;1;1;70914
s02;6;120;1;3;0;1;70930
s02;6;120;1;3;1;0;72513
s02;6;120;1;3;0;0;72530
s02;6;120;1;3;1;1;72647
s02;6;120;1;3;0;1;72680
s02;6;120;1;3;1;0;74013
s02;6;120;1;3;1;1;74396
s02;6;120;1;3;0;0;76478
s02;6;120;1;3;1;0;76496
s02;6;120;1;3;2;0;76529
s02;6;120;1;3;1;1;76712
s02;6;120;1;3;2;1;76728
s02;6;120;1;3;0;1;76745
s02;6;120;1;3;0;0;80011
s02;6;120;1;3;0;1;80211
s02;6;120;1;3;1;0;84142
s02;6;120;1;3;1;1;84343
s02;6;120;1;3;1;0;85908
s02;6;120;1;3;1;1;86641
s02;6;120;1;3;1;0;88425
s02;6;120;1;3;1;1;88591
s02;6;120;1;3;0;0;89640
s02;6;120;1;3;0;1;89806
s02;6;120;1;3;0;0;91956
s02;6;120;1;3;0;1;92090
s02;6;120;1;3;1;0;94272
s02;6;120;1;3;1;1;94455
s02;6;120;1;3;1;0;98787
s02;6;120;1;3;1;1;98987
s02;6;120;1;3;0;0;100869
s02;6;120;1;3;0;1;101003
s02;6;120;1;3;0;0;102435
s02;6;120;1;3;0;1;102652
s02;6;120;1;3;1;0;105184
s02;6;120;1;3;1;1;105368
s02;6;120;1;3;1;0;113931
s02;6;120;1;3;0;0;114131
s02;6;120;1;3;0;1;114281
s02;6;120;1;3;1;1;114314
s02;6;120;1;3;1;0;117096
s02;6;120;1;3;1;1;117263
s02;6;120;1;3;1;0;118613
s02;6;120;1;3;0;0;118646
s02;6;120;1;3;1;1;118779
s02;6;120;1;3;0;1;118812
s02;7;120;0;3;1;0;12785
s02;7;120;0;3;1;1;12937
s02;7;120;0;3;0;0;14502
s02;7;120;0;3;0;1;14668
s02;7;120;0;3;0;0;16851
s02;7;120;0;3;0;1;17001
s02;7;120;0;3;0;0;19600
s02;7;120;0;3;2;0;19633
s02;7;120;0;3;1;0;19650
s02;7;120;0;3;1;1;19683
s02;7;120;0;3;2;1;19716
s02;7;120;0;3;0;1;19750
s02;7;120;0;3;1;0;55903
s02;7;120;0;3;0;0;55919
s02;7;120;0;3;1;1;56086
s02;7;120;0;3;0;1;56119
s02;7;120;0;3;1;0;62000
s02;7;120;0;3;1;1;62167
s02;7;120;0;3;0;0;63817
s02;7;120;0;3;1;0;64533
s02;7;120;0;3;0;1;64683
s02;7;120;0;3;1;1;64799
s02;7;120;0;3;1;0;66582
s02;7;120;0;3;0;0;66616
s02;7;120;0;3;1;1;67449
s02;7;120;0;3;0;1;67465
s02;7;120;0;3;1;0;69264
s02;7;120;0;3;1;1;69830
s02;7;120;0;3;2;0;69948
s02;7;120;0;3;2;1;70198
s02;7;120;0;3;0;0;70547
s02;7;120;0;3;0;1;70797
s02;7;120;0;3;1;0;71630
s02;7;120;0;3;1;1;72230
s02;7;120;0;3;0;0;73596
s02;7;120;0;3;0;1;73912
s02;7;120;0;3;1;0;76744
s02;7;120;0;3;1;1;76945
s02;7;120;0;3;0;0;77411
s02;7;120;0;3;0;1;77594
s02;7;120;0;3;0;0;78811
s02;7;120;0;3;0;1;79044
s02;7;120;0;3;0;0;81209
s02;7;120;0;3;0;1;81426
s02;7;120;0;3;1;0;81577
s02;7;120;0;3;1;1;81709
s02;7;120;0;3;1;0;98886
s02;7;120;0;3;1;1;99419
s02;7;120;0;3;1;0;111482
s02;7;120;0;3;0;0;111498
s02;7;120;0;3;1;1;111581
s02;7;120;0;3;0;1;111615
s02;7;120;0;3;0;0;113764
s02;7;120;0;3;0;1;113898
s02;7;120;0;3;0;0;118029
s02;7;120;0;3;1;0;118045
s02;7;120;0;3;1;1;118146
s02;7;120;0;3;0;1;118179
s02;8;120;1;1;1;0;6789
s02;8;120;1;1;1;1;6955
s02;8;120;1;1;1;0;11103
s02;8;120;1;1;0;0;11221
s02;8;120;1;1;2;0;11237
s02;8;120;1;1;1;1;11420
s02;8;120;1;1;2;1;11437
s02;8;120;1;1;0;1;11454
s02;8;120;1;1;1;0;14203
s02;8;120;1;1;0;0;14352
s02;8;120;1;1;1;1;14569
s02;8;120;1;1;0;1;14586
s02;8;120;1;1;0;0;16934
s02;8;120;1;1;1;0;17018
s02;8;120;1;1;0;1;17385
s02;8;120;1;1;1;1;17401
s02;8;120;1;1;1;0;18817
s02;8;120;1;1;1;1;19101
s02;8;120;1;1;1;0;21583
s02;8;120;1;1;0;0;21616
s02;8;120;1;1;2;0;21633
s02;8;120;1;1;1;1;21783
s02;8;120;1;1;0;1;21800
s02;8;120;1;1;2;1;21816
s02;8;120;1;1;1;0;23133
s02;8;120;1;1;1;1;23266
s02;8;120;1;1;0;0;24632
s02;8;120;1;1;0;1;24766
s02;8;120;1;1;0;0;25065
s02;8;120;1;1;0;1;25182
s02;8;120;1;1;1;0;25565
s02;8;120;1;1;0;0;25599
s02;8;120;1;1;1;1;25665
s02;8;120;1;1;0;1;25715
s02;8;120;1;1;0;0;27147
s02;8;120;1;1;1;0;27181
s02;8;120;1;1;0;1;27381
s02;8;120;1;1;1;1;27397
s02;8;120;1;1;1;0;28230
s02;8;120;1;1;2;0;28247
s02;8;120;1;1;1;1;28297
s02;8;120;1;1;2;1;28464
s02;8;120;1;1;1;0;30229
s02;8;120;1;1;0;0;31097
s02;8;120;1;1;1;1;31496
s02;8;120;1;1;0;1;31513
s02;8;120;1;1;0;0;33278
s02;8;120;1;1;0;1;33612
s02;8;120;1;1;1;0;34212
s02;8;120;1;1;1;1;34345
s02;8;120;1;1;0;0;35128
s02;8;120;1;1;0;1;35295
s02;8;120;1;1;1;0;35545
s02;8;120;1;1;2;0;35644
s02;8;120;1;1;0;0;35678
s02;8;120;1;1;1;1;35845
s02;8;120;1;1;2;1;35861
s02;8;120;1;1;0;1;35894
s02;8;120;1;1;0;0;37511
s02;8;120;1;1;1;0;37610
s02;8;120;1;1;1;1;37710
s02;8;120;1;1;0;1;37777
s02;8;120;1;1;1;0;40459
s02;8;120;1;1;1;1;40642
s02;8;120;1;1;1;0;43575
s02;8;120;1;1;1;1;43758
s02;8;120;1;1;2;0;45707
s02;8;120;1;1;0;0;45740
s02;8;120;1;1;1;0;45757
s02;8;120;1;1;1;1;45841
s02;8;120;1;1;2;1;45857
s02;8;120;1;1;0;1;45874
s02;8;120;1;1;0;0;47656
s02;8;120;1;1;0;1;47856
s02;8;120;1;1;1;0;49223
s02;8;120;1;1;0;0;49239
s02;8;120;1;1;0;1;49423
s02;8;120;1;1;1;1;49439
s02;8;120;1;1;1;0;51838
s02;8;120;1;1;1;1;52038
s02;8;120;1;1;0;0;54687
s02;8;120;1;1;0;1;54870
s02;8;120;1;1;1;0;61118
s02;8;120;1;1;0;0;61135
s02;8;120;1;1;0;1;61318
s02;8;120;1;1;1;1;61335
s02;8;120;1;1;2;0;61718
s02;8;120;1;1;1;0;61751
s02;8;120;1;1;0;0;61767
s02;8;120;1;1;1;1;61851
s02;8;120;1;1;2;1;61885
s02;8;120;1;1;0;1;61901
s02;8;120;1;1;0;0;64566
s02;8;120;1;1;0;1;64733
s02;8;120;1;1;1;0;65066
s02;8;120;1;1;1;1;65200
s02;8;120;1;1;0;0;67116
s02;8;120;1;1;1;0;67133
s02;8;120;1;1;0;1;67249
s02;8;120;1;1;1;1;67282
s02;8;120;1;1;0;0;68998
s02;8;120;1;1;1;0;69032
s02;8;120;1;1;0;1;69165
s02;8;120;1;1;1;1;69182
s02;8;120;1;1;0;0;72947
s02;8;120;1;1;1;0;72980
s02;8;120;1;1;0;1;73097
s02;8;120;1;1;1;1;73113
s02;8;120;1;1;1;0;75463
s02;8;120;1;1;1;1;75579
s02;8;120;1;1;0;0;79227
s02;8;120;1;1;2;0;79244
s02;8;120;1;1;1;0;79278
s02;8;120;1;1;1;1;79428
s02;8;120;1;1;2;1;79444
s02;8;120;1;1;0;1;79477
s02;8;120;1;1;1;0;81810
s02;8;120;1;1;1;1;81960
s02;8;120;1;1;1;0;84226
s02;8;120;1;1;0;0;84309
s02;8;120;1;1;1;1;84476
s02;8;120;1;1;0;1;84509
s02;8;120;1;1;1;0;86075
s02;8;120;1;1;0;0;86108
s02;8;120;1;1;1;1;86292
s02;8;120;1;1;0;1;86309
s02;8;120;1;1;0;0;88058
s02;8;120;1;1;0;1;88191
s02;8;120;1;1;0;0;90606
